Category,Variable,n,W1_pre,W1_post,Rel_change,p_eq,p_disc,sig_pre,sig_post,Verdict
Pre-op speech,V08 pre,259,29.5,5.8,80.2,0.0,1.0,20.1,24.8,Equalizer
Pre-op speech,C12 pre,254,32.0,6.5,79.6,0.0,1.0,18.4,24.7,Equalizer
Demographic,Age at implantation,266,9.0,5.4,40.3,0.0345,0.9655,28.0,25.1,Equalizer
Demographic,Duration of HL,169,8.1,8.5,-4.0,0.7325,0.2675,27.8,23.1,—
Demographic,Sex,266,2.1,3.8,-81.9,0.851,0.149,28.6,25.3,—
Clinical,Bilateral CI,266,7.6,2.6,65.9,0.0445,0.9555,28.4,24.9,Equalizer
Clinical,Progressive HL,234,7.8,4.1,47.6,0.1785,0.8215,29.2,23.6,—
Clinical,Etiology (Cong/Acq),66,20.6,10.0,51.7,0.0335,0.9665,30.4,26.3,Equalizer
HL history,Onset of deafness,232,4.1,17.4,-324.7,1.0,0.0,28.4,25.1,Discriminator
Communication,Articulation,260,18.0,19.4,-7.7,0.7735,0.228,27.0,25.6,—
Communication,Lip reading,197,11.0,4.9,55.4,0.036,0.964,29.0,26.7,Equalizer
Communication,Phone use,246,14.8,2.0,86.3,0.0,1.0,27.4,25.1,Equalizer
Communication,Spoken language,265,7.0,6.8,1.8,0.55,0.45,30.4,24.6,—
Communication,Sign language,249,9.7,20.5,-111.9,0.9945,0.0055,28.3,26.1,Discriminator
Communication,Multilingual home,260,4.6,9.7,-112.4,0.977,0.023,29.2,26.1,Discriminator
Surgical,Cochlear access,256,4.6,4.3,7.4,0.4875,0.5125,29.3,25.5,—
Surgical,Insertion technique,257,4.3,10.1,-132.8,0.993,0.007,29.3,25.2,Discriminator
Surgical,Implant side,266,3.8,3.7,0.6,0.556,0.444,28.6,25.2,—
Surgical,CI manufacturer,241,6.3,5.8,6.6,0.511,0.489,27.2,24.0,—
Socioeconomic,Working status,208,3.9,5.0,-26.0,0.741,0.259,28.1,25.5,—
Socioeconomic,Marital status,195,4.0,4.7,-18.0,0.6765,0.3235,27.5,24.0,—
Socioeconomic,Living situation,107,6.3,3.6,43.3,0.2715,0.7285,27.9,23.5,—
Socioeconomic,Insurance type,238,8.1,4.5,44.2,0.1485,0.8515,27.9,24.4,—
Socioeconomic,Disability insurance,224,4.0,7.9,-98.8,0.927,0.073,27.8,24.7,—
Socioeconomic,AHV (pension),224,4.3,4.7,-8.8,0.6255,0.3745,28.2,25.1,—
Socioeconomic,Profession learned,182,6.8,13.1,-94.3,0.9975,0.0025,28.2,24.3,Discriminator
Socioeconomic,Reason not working,108,6.8,8.0,-18.1,0.725,0.2755,26.0,17.5,—
Clinical,Deceased,266,3.6,5.0,-37.6,0.694,0.306,29.5,24.0,—
Clinical,Subjective HL diag,240,2.3,2.6,-13.8,0.6205,0.3795,28.5,24.8,—
Clinical,Subjective HA fitting,242,3.8,1.8,52.1,0.2155,0.7845,28.2,25.1,—
HL history,Onset left ear,201,7.3,19.3,-163.1,0.9995,0.0005,27.5,26.4,Discriminator
Surgical,Surgical access,263,8.1,24.5,-203.8,0.998,0.002,32.0,21.9,Discriminator
Surgical,Surgery duration,240,6.0,4.7,21.0,0.339,0.661,28.6,24.7,—
Surgical,Incision type,255,4.9,11.5,-135.8,0.977,0.023,28.6,24.2,Discriminator
Surgical,Postop imaging normal,110,14.0,4.2,70.3,0.055,0.945,29.0,23.5,—
Communication,Main language,239,3.3,2.6,22.3,0.42,0.58,29.0,24.9,—
Familial,Father HA/CI,108,4.6,15.3,-230.7,0.998,0.002,29.0,22.2,Discriminator
Familial,Mother HA/CI,109,6.8,7.4,-7.9,0.609,0.391,27.8,23.4,—
Free-field,FF 6000 Hz Co,216,16.3,6.7,59.1,0.0,1.0,26.9,25.7,Equalizer
Questionnaire,IOIHA pre-op,142,9.9,5.3,46.0,0.072,0.928,27.8,21.3,—
Pre-op speech,Mono2 pre,266,36.5,7.3,80.0,0.0,1.0,13.4,24.4,Equalizer
